title;abstract;doi;application_area;clinical_procedure;multimodal_imaging;study_category;research_environment;purpose;imaging_technique;spectral_range
Optimization of Band Selection in Multispectral and Narrow-Band Imaging: An Analytical Approach;"Hyperspectral imaging is a promising clinical imaging modality with multiple applications in wound care, dermatology, and ophthalmology. However, with current technologies, hyperspectral imagers are relatively large and expensive devices, mainly affordable only by hospitals. Multispectral imaging can be a cost-effective alternative for hyperspectral imaging and is capable of bringing diagnostics to primary health care. Multispectral imaging uses known features of tissue chromophores to simplify imaging device design. However, to maintain design simple and cost-effective the number of illumination bands should be minimal. Thus, proper band selection is very important. The goal of the current study is to develop an analytical model for the optimization of band selection for multispectral and narrow-band imaging techniques (e.g., narrow-band microscopy). Methods: The contrast ratio has been proposed for quantification of image quality of subsurface inhomogeneities in the skin. Based on the two-flux Kubelka-Munk model, we developed an analytical approach which links the contrast ratio with optical tissue parameters. Results: We obtained an explicit analytical solution for the dependence of maximal contrast ratio on optical tissue parameters. Then, we linked the minimally observable contrast ratio (c(min)) with the bit depth of the camera, d: c(min) = 1/(2(d)-1). Based on this analysis we were able to derive an explicit expression, which links camera properties with the minimally detectable changes in optical tissue parameters (both scattering and absorption). Conclusions: The proposed analytical model can be used for rapid assessment and optimization of multispectral and narrow band imaging techniques and for estimation of the accuracy of imaging techniques. The developed model confirms the utility of the contrast ratio for tissue imaging.;10.1007/978-3-030-34461-0_46";10.1007/978-3-030-34461-0_46;;;;;;tissue classification;;
Integration of image data from 2D and 3D optical techniques for painting conservation applications;"Similarly to the medical field, where a diagnosis is generally established on the basis of the results of more than one test, specialists in the conservation field are also greatly interested in the possibility of combining different diagnostic methods. This work presents a number of bi-dimensional and three-dimensional (3D) optical techniques for painting diagnostics, and the possibilities offered by their integration. Three imaging systems are described: an IR-RGB scanner, a hyperspectral scanner and a UV-VIS multispectral system. Two devices developed for 3D survey are then presented: a laser-line scanner and a conoscopic micro-profilometer. In order to illustrate the advantages related to the acquisition of a variety of these different techniques and methodologies in painting diagnostics, the results obtained on an ancient panel painting, the Portrait of Lionello d'Este by Antonio Pisano are presented.;10.1179/174313107X145209";10.1179/174313107X145209;;;;;;tissue classification;;
Guided Filter-Based Medical Hyperspectral Image Restoration and Cell Classification;"Hyperspectral imaging is a newly-developed technique combining imaging and spectroscopy, which has been drawn increasing attention in precise medical diagnostics. The hyperspectral cell data is captured by the system including microscope and hyperspectral camera which promise the data has both high spectral and spatial resolution. In practical imaging process, some spectral bands are inevitably corrupted by noise, making information loss. In this paper, a medical image restoration method based on guided image filter is proposed, which attempts to realize automatic noise suppression and preserve edge of interested targets. The most important step for the proposed method is the choice of guided image, which is selected from original spectral bands with certain criteria. In doing so, the guided image maintains the image physical properties, offering better restoration performance. Furthermore, the restored hyperspectral imagery is employed to classify various kinds of cell targets. Experimental results with several real scenes demonstrate that the proposed method can provide medical images with much better visual effects and higher classification performance.;10.1166/jmihi.2018.2334";10.1166/jmihi.2018.2334;;;;;;tissue classification;;
A Microscope Setup and Methodology for Capturing Hyperspectral and RGB Histopathological Imaging Databases;"The digitization of pathology departments in hospitals around the world is now a reality. The current commercial solutions applied to digitize histopathological samples consist of a robotic microscope with an RGB-type camera attached to it. This technology is very limited in terms of information captured, as it only works with three spectral bands of the visible electromagnetic spectrum. Therefore, we present an automated system that combines RGB and hyperspectral technology. Throughout this work, the hardware of the system and its components are described along with the developed software and a working methodology to ensure the correct capture of histopathological samples. The software is integrated by the controller of the microscope, which features an autofocus functionality, whole slide scanning with a stitching algorithm, and hyperspectral scanning functionality. As a reference, the time to capture and process a complete sample with 20 regions of high biological interest using the proposed method is estimated at a maximum of 79 min, reducing the time required by a manual operator by at least three times. Both hardware and software can be easily adapted to other systems that might benefit from the advantages of hyperspectral technology.;10.3390/s24175654";10.3390/s24175654;;;;;;tissue classification;;
Band selection of hyperspectral images for automatic detection of poultry skin tumors;"This paper presents a spectral band selection method for feature dimensionality reduction in hyperspectral image analysis for detecting skin tumors on poultry carcasses. A hyperspectral image contains spatial information measured as a sequence of individual wavelength across broad spectral bands. Despite the useful information for skin tumor detection, real-time processing of hyperspectral images is often a challenging task due to the large amount of data. Band selection finds a subset of significant spectral bands in terms of information content for dimensionality reduction. This paper presents a band selection method of hyperspectral images based on the recursive divergence for the automatic detection of poultry carcasses. For this, we derive a set of recursive equations for the fast calculation of divergence with an additional band to overcome the computational restrictions in real-time processing. A support vector machine is used as a classifier for tumor detection. From our experiments, the proposed band selection method shows high detection accuracy with low false positive rates compared to the canonical analysis at a small number of spectral bands. Also, compared with the enumeration approach of 93.75 % detection rate, our proposed recursive divergence approach gives 90.6 % detection rate, which is within the industry-accepted accuracy of 90-95%, while achieving the computational saving for real-time processing. Note to Practitioners-Hyperspectral fluorescence imaging offers an instant, noninvasive inspection method for detecting biomedical abnormalities. However, the huge amount of hyperspectral image data often makes real-time computer processing a challenging task. This paper suggests a band selection method of hyperspectral images based on the recursive divergence for the automatic detection of poultry carcasses. This method avoids transforming the original hyperspectral images to the feature space. Instead, it maximizes the class separability by considering the correlation information of spectral bands. In this paper, we mathematically characterize the use of divergence for band selection. Also, a set of recursive equations for the calculation of divergence with an additional band is derived to overcome the computational restrictions in real-time processing. The method may be extended to detect other biomedical abnormalities as well. In future research, we will incorporate the spatial and spectral information of the data in the development of appropriate band selection techniques for the hyperspectral data processing.;10.1109/TASE.2006.888048";10.1109/TASE.2006.888048;;;;;;tissue classification;;
Automatic identification and quantitative morphometry of unstained spinal nerve using molecular hyperspectral imaging technology;"Quantitative observation of nerve fiber sections is often complemented by morphological analysis in both research and clinical condition. However, existing manual or semi-automated methods are tedious and labour intensive, fully automated morphometry methods are complicated as the information of color or gray images captured by traditional microscopy is limited. Moreover, most of the methods are time-consuming as the nerve sections need to be stained with some reagents before observation. To overcome these shortcomings, a molecular hyperspectral imaging system is developed and used to observe the spinal nerve sections. The molecular hyperspectral images contain both the structural and biochemical information of spinal nerve sections which is very useful for automatic identification and quantitative morphological analysis of nerve fibers. This characteristic makes it possible for researchers to observe the unstained spinal nerve and live cells in their native environment. To evaluate the performance of the new method, the molecular hyperspectral images were captured and the improved spectral angle mapper algorithm was proposed and used to segment the myelin contours. Then the morphological parameters such as myelin thickness and myelin area were calculated and evaluated. With these morphological parameters, the three dimension surface view images were drawn to help the investigators observe spinal nerve at different angles. The experiment results show that the hyperspectral based method has the potential to identify the spinal nerve more accurate than the traditional method as the new method contains both the spectral and spatial information of nerve sections. Crown Copyright (C) 2012 Published by Elsevier Ltd. All rights reserved.;10.1016/j.neuint.2012.09.018";10.1016/j.neuint.2012.09.018;;;;;;tissue classification;;
The Spatial LASSO With Applications to Unmixing Hyperspectral Biomedical Images;"Hyperspectral imaging (HSI) is a spectroscopic method that uses densely sampled measurements along the electromagnetic spectrum to identify the unique molecular composition of an object. Traditionally HSI has been associated with remote sensing-type applications, but recently has found increased use in biomedicine, from investigations at the cellular to the tissue level. One of the main challenges in the analysis of HSI is estimating the proportions, also called abundance fractions of each of the molecular signatures. While there is great promise for HSI in the area of biomedicine, large variability in the measurements and artifacts related to the instrumentation has slow adoption into more widespread practice. In this article, we propose a novel regularization and variable selection method called the spatial LASSO (SPLASSO). The SPLASSO incorporates spatial information via a graph Laplacian-based penalty to help improve the model estimation process for multivariate response data. We show the strong performance of this approach on a benchmark HSI dataset with considerable improvement in predictive accuracy over the standard LASSO. Supplementary materials for this article are available online.;10.1080/00401706.2014.979950";10.1080/00401706.2014.979950;;;;;;tissue classification;;
Hyperspectral placenta dataset: Hyperspectral image acquisition, annotations, and processing of biological tissues in microsurgical training;"The dataset consists of 101 hyperspectral images of four human placentas and six hyperspectral images of contrast dyes (i.e., indocyanine green and red and blue food colorant) that were captured in the range 515-900 nm, step = 5 nm. The hyperspectral images were manually annotated, delineating the key anatomical structures: arteries, veins, stroma, and the umbilical cord. Standard reference materials were used for flat-field correction. The dataset is instrumental for advancing machine-learning algorithms and automated classification of anatomical structures, particularly the classification of superficial and deep vessels and transparent tissue layers.(c) 2023 The Author(s). Published by Elsevier Inc. This is an open access article under the CC BY license ( http://creativecommons.org/licenses/by/4.0/ );10.1016/j.dib.2023.109526";10.1016/j.dib.2023.109526;;;;;;tissue classification;;
Color enhancement in multispectral image using the Karhunen-Loeve transform;"We propose a new method for the color enhancement of multispectral image in the visible wavelength region. The purpose of the proposed method is to explore the weak features contained in a specific wavelength by discounting the major color distribution. Such examination will be valuable in visual inspection applications, for example, a medical examination using color image to find a small spectral change of an abnormal part. In this method, Karhunen-Loeve (KL) transform is applied to multispectral data, and specific wavelength components of only high-order KL coefficients are amplified while low-order coefficients are not changed to retain the major color distribution. In the experiment, this method was applied to multispectral images: a printed test image and a human skin image of a bruised arm were captured by a 16-band multispectral camera. The resultant images were compared with the images obtained by saturation enhancement and that obtained by applying the proposed method to the 3-band image. The method successfully visualized the features, which are almost invisible in natural color images, with less change in background color than saturation enhancement. (c) 2005 The Optical Society of Japan.;10.1007/s10043-004-0069-4";10.1007/s10043-004-0069-4;;;;;;tissue classification;;
Quantitative coating thickness determination using a coefficient-independent hyperspectral scattering model;"Background: Hyperspectral imaging is a technique that enables the mapping of spectral signatures across a surface. It is most commonly used for surface chemical mapping in fields as diverse as satellite remote sensing, biomedical imaging and heritage science. Existing models, such as the Kubelka-Munk theory and the Lambert-Beer law also relate layer thickness with absorption, and in the case of the Kubelka-Munk theory scattering, however they are not able to fully describe the complex behavior of the light-layer interaction. Methods: This paper describes a new approach for hyperspectral imaging, the mapping of coating surface thickness using a coefficient-independent scattering model. The approach taken in this paper is to model the absorption and scattering behavior using a developed coefficient-independent model, calibrated using reference sample thickness measurements performed with optical coherence tomography. Results: The results show that this new model, by considering the spectral variation that can be recorded by the hyperspectral imaging camera, is able to measure coatings of 250 mu m thickness with an accuracy of 11 mu m in a fast and repeatable way. Conclusions: The new coefficient-independent scattering model presented can successfully measure the thickness of coatings from hyperspectral imaging data.;10.1186/s41476-017-0068-2";10.1186/s41476-017-0068-2;;;;;;tissue classification;;
