title;abstract
"Optical hyperspectral imaging in microscopy and spectroscopy - a review of data acquisition";"Rather than simply acting as a photographic camera capturing two-dimensional (x, y) intensity images or a spectrometer acquiring spectra (lambda), a hyperspectral imager measures entire three-dimensional (x, y, lambda) datacubes for multivariate analysis, providing structural, molecular, and functional information about biological cells or tissue with unprecedented detail. Such data also gives clinical insights for disease diagnosis and treatment. We summarize the principles underpinning this technology, highlight its practical implementation, and discuss its recent applications at microscopic to macroscopic scales."
"Intraoperative multispectral and hyperspectral label-free imaging: A systematic review of in vivo clinical studies";"Multispectral and hyperspectral imaging (HSI) are emerging optical imaging techniques with the potential to transform the way surgery is performed but it is not clear whether current systems are capable of delivering real-time tissue characterization and surgical guidance. We conducted a systematic review of surgical in vivo label-free multispectral and HSI systems that have been assessed intraoperatively in adult patients, published over a 10-year period to May 2018. We analysed 14 studies including 8 different HSI systems. Current in-vivo HSI systems generate an intraoperative tissue oxygenation map or enable tumour detection. Intraoperative tissue oxygenation measurements may help to predict those patients at risk of postoperative complications and in-vivo intraoperative tissue characterization may be performed with high specificity and sensitivity. All systems utilized a line-scanning or wavelength-scanning method but the spectral range and number of spectral bands employed varied significantly between studies and according to the system's clinical aim. The time to acquire a hyperspectral cube dataset ranged between 5 and 30 seconds. No safety concerns were reported in any studies. A small number of studies have demonstrated the capabilities of intraoperative in-vivo label-free HSI but further work is needed to fully integrate it into the current surgical workflow."
"A Review of Pharmaceutical Robot based on Hyperspectral Technology";"The quality and safety of medicinal products are related to patients' lives and health. Therefore, quality inspection takes a key role in the pharmaceutical industry. Most of the previous solutions are based on machine vision, however, their performance is limited by the RGB sensor. The pharmaceutical visual inspection robot combined with hyperspectral imaging technology is becoming a new trend in the high-end medical quality inspection process since the hyperspectral data can provide spectral information with spatial knowledge. Yet, there is no comprehensive review about hyperspectral imaging-based medicinal products inspection. This paper focuses on the pivotal pharmaceutical applications, including counterfeit drugs detection, active component analysis of tables, and quality testing of herbal medicines and other medical materials. We discuss the technology and hardware of Raman spectroscopy and hyperspectral imaging, firstly. Furthermore, we review these technologies in pharmaceutical scenarios. Finally, the development tendency and prospect of hyperspectral imaging technology-based robots in the field of pharmaceutical quality inspection is summarized."
"Hyperspectral interventional imaging for enhanced tissue visualization and discrimination combining band selection methods";"Hyperspectral imaging is an emerging technology recently introduced in medical applications inasmuch as it provides a powerful tool for noninvasive tissue characterization. In this context, a new system was designed to be easily integrated in the operating room in order to detect anatomical tissues hardly noticed by the surgeon's naked eye. Our LCTF-based spectral imaging system is operative over visible, near- and middle-infrared spectral ranges (400-1700 nm). It is dedicated to enhance critical biological tissues such as the ureter and the facial nerve. We aim to find the best three relevant bands to create a RGB image to display during the intervention with maximal contrast between the target tissue and its surroundings. A comparative study is carried out between band selection methods and band transformation methods. Combined band selection methods are proposed. All methods are compared using different evaluation criteria. Experimental results show that the proposed combined band selection methods provide the best performance with rich information, high tissue separability and short computational time. These methods yield a significant discrimination between biological tissues. We developed a hyperspectral imaging system in order to enhance some biological tissue visualization. The proposed methods provided an acceptable trade-off between the evaluation criteria especially in SWIR spectral band that outperforms the naked eye's capacities."
"Hyperspectral and multispectral imaging in neurosurgery: a systematic literature review and meta-analysis";"Introduction: The neuro-surgical community is witnessing a rising interest for surgical application of multispectral/hyperspectral imaging. Several potential technical applications of this optical imaging are reported, but the set-up is variable and so are the processing methods. We present a systematic review of the relevant literature on the topic. Materials and methods: A literature search based on the PRISMA principles was performed on PubMed, SCOPUS, and Web of Science, using MESH terms and Boolean operators. Papers regarding intra-operative in-vivo application of multispectral and/or hyperspectral imaging in humans during neurosurgical procedures were included. Papers reporting technologies related to radiological applications were excluded. A meta-analysis on the performance metrics was also conducted. Results: Our search string retrieved 20 papers. The main applications of optical imaging during neurosurgery concern tumour detection and improvement of the extent of resection (15 papers) or visualization of perfusion changes during neuro-oncology or neuro-vascular surgery (5 papers). All the retrieved articles were pilot studies, proof of concepts, or case reports, with limited number of patients recruited. Sensitivity, specificity, and accuracy were promising in most of the reports, but the metanalysis showed heterogeneous approaches and results among studies. Conclusions: The present review shows that several approaches are currently being tested to integrate hyperspectral imaging in neurosurgery, but most of the studies reported a limited pool of patients, with different approaches to data collection and analysis. Further studies on larger cohorts of patients are therefore desirable to fully explore the potential of this imaging technique."
"Hyperspectral vision beyond 3D: A review";"Hyperspectral imaging (HSI) technique has evolved dramatically over the past few decades, demonstrating its capability for a wide range of applications. Combining HSI with other advanced imaging modalities have resulted in versatile systems with exceptional imaging and spectroscopic capabilities. HSI originated as an imaging technique for assessing the spatial and spectral attributes of the objects under inspection. Attributes extracted from HSI can be well represented and visualised in 3 -dimensional (3D) space using virtual reality (VR) and augmented reality (AR). Later advancements led to the development of 4D HSI cameras that can track the spatial and spectral characteristics of objects over time and became a hot topic in precision agriculture, medical imaging, and optical sorting. Recently, 5D HSI systems utilizing structured light were developed for measuring the time -dependent spectral characteristics along the entire shape of macroscopic objects under investigation, providing excellent spectral, spatial, and axial resolutions. Latest compact HSI cameras with panoramic imaging capabilities offering high spatial and spectral resolutions are perfect candidates for remote sensing applications. Such capabilities facilitated the evolution of HSI into machine vision, resulting in the creation of a new realm named hyperspectral vision that enables intelligent automation. This review highlights the technological advancements in the field of HSI, focusing on advanced imaging modalities to realise spectral vision beyond 3D for applications in machine vision and Industry 4.0. The review also throws light on the challenges faced during real -life implementations of such technologies and possible mitigation strategies. Approaches for enhancing the HSI data using matured technologies such as AR and VR are also discussed."
"A review of the medical hyperspectral imaging systems and unmixing algorithms ? in biological tissues";"Hyperspectral fluorescence imaging (HFI) is a well-known technique in the medical research field and is considered a non-invasive tool for tissue diagnosis. This review article gives a brief introduction to acquisition methods, including the image preprocessing methods, feature selection and extraction methods, data classifi-cation techniques and medical image analysis along with recent relevant references. The process of fusion of unsupervised unmixing techniques with other classification methods, like the combination of support vector machine with an artificial neural network, the latest snapshot Hyperspectral imaging (HSI) and vortex analysis techniques are also outlined. Finally, the recent applications of hyperspectral images in cellular differentiation of various types of cancer are discussed."
"Multispectral imaging: Review of current applications";"Multispectral imaging (MSI) is a unique layer-by-layer imaging technique that allows the vi-sualization of a wide array of retinal and choroidal pathologies including retinovascular disorders, retinal pigment epithelial changes, and choroidal lesions. Herein, we summarize the basic imaging principles and current applications of MSI together with recent technology advances in the field. MSI detects reflectance signal from both normal chorioretinal tissue and pathological lesions. Either hyperreflectance or hyporeflectance reveals the absorption activity of pigments such as hemoglobin and melanin and the reflection from interfaces such as the posterior hyaloid. Advances in MSI technique include creation of a retinal and chor-oidal oxy-deoxy map that could provide a better understanding of blood oxygen saturation within lesions as well as better interpretation of reflectance phenomenon of MSI images such as the different reflectance from the Sattler and Haller layers described in this review.& COPY, 2023 Elsevier Inc. All rights reserved."
"Relevant aspects of unmixing/resolution analysis for the interpretation of biological vibrational hyperspectral images";"The use of multivariate unmixing/resolution methods for the analysis of biological vibrational hyper spectral images is crucial to characterize the morphology and spectral signatures of the different biological tissues or cell compartments. This work provides a general data analysis protocol to interpret Raman and FT-IR hyperspectral images of biological samples. To do so, Multivariate Curve Resolution Alternating Least Squares (MCR-ALS) is the core tool proposed. The protocol starts by describing dedicated preprocessing steps suitable to handle the nature and artifacts of the spectroscopic technique used. Later on, the focus is on the use of MCR-ALS to analyze single images or image multiset structures that contain images with related information. Relevant issues related to advanced use of MCR-ALS on biological image analysis, such as the modeling of mixed non-biological signal contributions or the elucidation and active use of information related to the presence/absence of biological contributions in different images (samples) in multiset structures, are described. Additional aspects, such as the only use of the FT-IR fingerprint region vs. using extended spectral ranges in FT-IR to improve the differentiation among contributions, are also considered. The proposed data analysis methodology is demonstrated on real Raman and FT-IR images from zebrafish tissue cryosections. (C) 2017 Elsevier B.V. All rights reserved."
"Spectral Fluorescence Pathology of Protein Misfolding Disorders";"Protein misfolding has been extensively studied in the context of neurodegenerative disorders and systemic amyloidoses. Due to misfolding and aggregation of proteins being highly heterogeneous and generating a variety of structures, a growing body of evidence illustrates numerous ways how the aggregates contribute to progression of diseases such as Alzheimer's disease, Parkinson's disease, and prion disorders. Different misfolded species of the same protein, commonly referred to as strains, appear to play a significant role in shaping the disease clinical phenotype and clinical progression. The distinct toxicity profiles of various misfolded proteins underscore their importance. Current diagnostics struggle to differentiate among these strains early in the disease course. This review explores the potential of spectral fluorescence approaches to illuminate the complexities of protein misfolding pathology and discusses the applications of advanced spectral methods in the detection and characterization of protein misfolding disorders. By examining spectrally variable probes, current data analysis approaches, and important considerations for the use of these techniques, this review aims to provide an overview of the progress made in this field and highlights directions for future research."
