title;abstract
Deep learning-based time series prediction in multispectral and hyperspectral imaging for cancer detection;Introduction Multispectral and hyperspectral imaging have emerged as powerful tools in medical diagnostics, particularly in cancer detection, due to their ability to capture rich spectral information beyond human vision. Traditional approaches for cancer detection rely on handcrafted features and conventional machine learning algorithms, which struggle with high-dimensional spectral data, noise interference, and domain adaptation challenges. Deep learning has recently been introduced to address these limitations, yet existing models often lack robust feature extraction, generalization capability, and effective domain adaptation strategies.Methods In this study, we propose a novel deep learning-based time series prediction framework for multispectral and hyperspectral medical imaging analysis. Our approach integrates multi-scale feature extraction, attention mechanisms, and domain adaptation strategies to improve lesion segmentation and disease classification. The model employs self-supervised learning to mitigate the scarcity of labeled medical data, enhancing generalization across different imaging modalities. Furthermore, a knowledge-guided regularization module is introduced to leverage prior medical knowledge, refining predictions and reducing false positives.Results Experimental results demonstrate that our framework outperforms state-of-the-art methods in spectral imaging-based cancer detection, achieving superior accuracy, robustness, and interpretability.Discussion The proposed approach provides a significant step toward AI-driven medical imaging solutions that effectively harness multispectral and hyperspectral data for enhanced diagnostic performance.
Quantitative evaluation of comb-structure correction methods for multispectral fibrescopic imaging;Removing the comb artifact introduced by imaging fibre bundles, or 'fibrescopes', for example in medical endoscopy, is essential to provide high quality images to the observer. Multispectral imaging (MSI) is an emerging method that combines morphological (spatial) and chemical (spectral) information in a single data 'cube'. When a fibrescope is coupled to a spectrally resolved detector array (SRDA) to perform MSI, comb removal is complicated by the demosaicking step required to reconstruct the multispectral data cube. To understand the potential for using SRDAs as multispectral imaging sensors in medical endoscopy, we assessed five comb correction methods with respect to five performance metrics relevant to biomedical imaging applications: processing time, resolution, smoothness, signal and the accuracy of spectral reconstruction. By assigning weights to each metric, which are determined by the particular imaging application, our results can be used to select the correction method to achieve best overall performance. In most cases, interpolation gave the best compromise between the different performance metrics when imaging using an SRDA.
Optimization of Band Selection in Multispectral and Narrow-Band Imaging: An Analytical Approach;Hyperspectral imaging is a promising clinical imaging modality with multiple applications in wound care, dermatology, and ophthalmology. However, with current technologies, hyperspectral imagers are relatively large and expensive devices, mainly affordable only by hospitals. Multispectral imaging can be a cost-effective alternative for hyperspectral imaging and is capable of bringing diagnostics to primary health care. Multispectral imaging uses known features of tissue chromophores to simplify imaging device design. However, to maintain design simple and cost-effective the number of illumination bands should be minimal. Thus, proper band selection is very important. The goal of the current study is to develop an analytical model for the optimization of band selection for multispectral and narrow-band imaging techniques (e.g., narrow-band microscopy). Methods: The contrast ratio has been proposed for quantification of image quality of subsurface inhomogeneities in the skin. Based on the two-flux Kubelka-Munk model, we developed an analytical approach which links the contrast ratio with optical tissue parameters. Results: We obtained an explicit analytical solution for the dependence of maximal contrast ratio on optical tissue parameters. Then, we linked the minimally observable contrast ratio (c(min)) with the bit depth of the camera, d: c(min) = 1/(2(d)-1). Based on this analysis we were able to derive an explicit expression, which links camera properties with the minimally detectable changes in optical tissue parameters (both scattering and absorption). Conclusions: The proposed analytical model can be used for rapid assessment and optimization of multispectral and narrow band imaging techniques and for estimation of the accuracy of imaging techniques. The developed model confirms the utility of the contrast ratio for tissue imaging.
Blind non-linear spectral unmixing with spatial coherence for hyper and multispectral images;Multi and hyperspectral images have become invaluable sources of information, revolutionizing various fields such as remote sensing, environmental monitoring, agriculture and medicine. In this expansive domain, the multi-linear mixing model (MMM) is a versatile tool to analyze spatial and spectral domains by effectively bridging the gap between linear and non-linear interactions of light and matter. This paper introduces an upgraded methodology that integrates the versatility of MMM in non-linear spectral unmixing, while leveraging spatial coherence (SC) enhancement through total variation theory to mitigate noise effects in the abundance maps. Referred to as non-linear extended blind end-member and abundance extraction with SC (NEBEAE-SC), the proposed methodology relies on constrained quadratic optimization, cyclic coordinate descent algorithm, and the split Bregman formulation. The validation of NEBEAE-SC involved rigorous testing on various hyperspectral datasets, including a synthetic image, remote sensing scenarios, and two biomedical applications. Specifically, our biomedical applications are focused on classification tasks, the first addressing hyperspectral images of in-vivo brain tissue, and the second involving multispectral images of ex-vivo human placenta. Our results demonstrate an improvement in the abundance estimation by NEBEAE-SC compared to similar algorithms in the state-of-the-art by offering a robust tool for non-linear spectral unmixing in diverse application domains.
Phasor-based hyperspectral snapshot microscopy allows fast imaging of live, three-dimensional tissues for biomedical applications;Hyperspectral imaging is highly sought after in many fields including mineralogy and geology, environment and agriculture, astronomy and, importantly, biomedical imaging and biological fluorescence. We developed ultrafast phasor-based hyperspectral snapshot microscopy based on sine/cosine interference filters for biomedical imaging not feasible with conventional hyperspectral detection methods. Current approaches rely on slow spatial or spectral scanning limiting their application in living biological tissues, while faster snapshot methods such as image mapping spectrometry and multispectral interferometry are limited in spatial and/or spectral resolution, are computationally demanding, and imaging devices are very expensive to manufacture. Leveraging light sheet microscopy, phasor-based hyperspectral snapshot microscopy improved imaging speed 10-100 fold which, combined with minimal light exposure and high detection efficiency, enabled hyperspectral metabolic imaging of live, three-dimensional mouse tissues not feasible with other methods. As a fit-free method that does not require any a priori information often unavailable in complex and evolving biological systems, the rule of linear combinations of the phasor could spectrally resolve subtle differences between cell types in the developing zebrafish retina and spectrally separate and track multiple organelles in 3D cultured cells over time. The sine/cosine snapshot method is adaptable to any microscope or imaging device thus making hyperspectral imaging and fit-free analysis based on linear combinations broadly available to researchers and the public. Hedde et al. demonstrate the use of ultrafast phasor-based hyperspectral snapshot microscopy for biomedical imaging. This technique can improve imaging speed by 10-100 fold and enables 3D hyperspectral imaging of live tissues without using expensive and specialized hyperspectral cameras.
A Hybrid Approach for Detecting the Brain Tumor in Hyperspectral Images Using Moth Flame Optimized K-Means Clustering;In recent days, the hyperspectral imaging technique is used in numerous applications like remote sensing, medical images and so on. The reason behind the implementing the hyperspectral imaging is to get more information of the location or region through large number of bands by varying the bandwidth of the image acquisition system. In general, the medical images are captured using the multispectral band which is useful for the first level of diagnosis. But, the deeper analysis of the regions in the medical images the multispectral image is not that much efficient. Hence, to overcome this drawback the hyperspectral imaging technique is introduced in the medical imaging system. It is mainly used in the brain tumour detection. The localization of brain tumour is performed by applying the parallel k-means clustering to the hyperspectral images. The drawback of the parallel k-means clustering is to select the cluster numbers manually and the evaluation is not performed. This paper taken this two things as an objective to propose an automatic approach to detect the number of clusters and to evaluate the performance. In this paper, the localization of tumour is detected by using the hybrid approach called moth flame optimization and k-means clustering. The optimization algorithm role is to detect the optimal number of clusters to segment the medical images using k-means clustering. The evaluation of tumour localization is done by calculating the mean absolute error and the peak signal to noise ratio.
Transillumination hyperspectral imaging for histopathological examination of excised tissue;Angular domain spectroscopic imaging (ADSI) is a novel technique for the detection and characterization of optical contrast in turbid media based on spectral characteristics. The imaging system employs a silicon micromachined angular filter array to reject scattered light traversing a specimen and an imaging spectrometer to capture and discriminate the largely remaining quasiballistic light based on spatial position and wavelength. The imaging modality results in hyperspectral shadowgrams containing two-dimensional (2D) spatial maps of spectral information. An ADSI system was constructed and its performance was evaluated in the near-infrared region on tissue-mimicking phantoms. Image-based spectral correlation analysis using transmission spectra and first order derivatives revealed that embedded optical targets could be resolved. The hyperspectral images obtained with ADS! were observed to depend on target concentration, target depth, and scattering level of the background medium. A similar analysis on a muscle and tumor sample dissected from a mouse resulted in spatially dependent optical transmission spectra that were distinct, which suggested that ADSI may find utility in classifying tissues in biomedical applications. (C) 2011 Society of Photo-Optical Instrumentation Engineers (SPIE). [DOI: 10.1117/1.3623410]
Hyperspectral image segmentation: a preliminary study on the Oral and Dental Spectral Image Database (ODSI-DB);Visual discrimination of clinical tissue types remains challenging, with traditional RGB imaging providing limited contrast for such tasks. Hyperspectral imaging (HSI) is a promising technology providing rich spectral information that can extend far beyond three-channel RGB imaging. Moreover, recently developed snapshot HSI cameras enable real-time imaging with significant potential for clinical applications. Despite this, the investigation into the relative performance of HSI over RGB imaging for semantic segmentation purposes has been limited, particularly in the context of medical imaging. Here we compare the performance of state-of-the-art deep learning image segmentation methods when trained on hyperspectral images, RGB images, hyperspectral pixels (minus spatial context), and RGB pixels (disregarding spatial context). To achieve this, we employ the recently released Oral and Dental Spectral Image Database (ODSI-DB), which consists of 215 manually segmented dental reflectance spectral images with 35 different classes across 30 human subjects. The recent development of snapshot HSI cameras has made real-time clinical HSI a distinct possibility, though successful application requires a comprehensive understanding of the additional information HSI offers. Our work highlights the relative importance of spectral resolution, spectral range, and spatial information to both guide the development of HSI cameras and inform future clinical HSI applications.
Lensless Multispectral Camera Based on a Coded Aperture Array;Multispectral imaging can be applied to water quality monitoring, medical diagnosis, and other applications, but the principle of multispectral imaging is different from the principle of hyperspectral imaging. Multispectral imaging is generally achieved through filters, so multiple photos are required to obtain spectral information. Using multiple detectors to take pictures at the same time increases the complexity and cost of the system. This paper proposes a simple multispectral camera based on lensless imaging, which does not require multiple lenses. The core of the system is the multispectral coding aperture. The coding aperture is divided into different regions and each region transmits the light of one wavelength, such that the spectral information of the target can be coded. By solving the inverse problem of sparse constraints, the multispectral information of the target is inverted. Herein, we analyzed the characteristics of this multispectral camera and developed a principle prototype to obtain experimental results.
Real-time fusion of stereo vision and hyperspectral imaging for objective decision support during surgery;We present a real-time stereo hyperspectral imaging (stereo-HSI) system for intraoperative tissue and organ analysis that integrates multispectral snapshot imaging with stereo vision to support clinical decision-making. The system visualize both RGB and high-dimensional spectral data while simultaneously reconstructing 3D surfaces, offering a compact, non-contact solution for seamless integration into surgical workflows. A modular processing pipeline enables robust demosaicing, spectral and spatial fusion, and pixel-wise medical assessment, including perfusion and tissue classification. Our spectral warping algorithm leverages a custom learned mapping, our white-balance network method is the first for snapshot MSI cameras, and our fusion CNN employs spectral-attention modules to exploit the rich hyperspectral domain. Clinical feasibility was demonstrated in 57 surgical procedures, including kidney transplantation, parotidectomy, and neck dissection, achieving high spatial and spectral resolution under standard surgical lighting conditions. The system enables visualization of oxygenation and tissue composition in real-time, offering surgeons a novel tool for image-guided interventions. This study establishes the stereo-HSI platform as a clinically viable and effective method for enhancing intraoperative insight and surgical precision.
